5,BloatedBedBugA,{1000\,0},1.0,1
0.001,BloatedBedBugA,{995.185\,98.0171},1.0,1
0.001,BloatedBedBugA,{980.785\,195.09},1.0,1
0.001,BloatedBedBugA,{956.94\,290.285},1.0,1
0.001,BloatedBedBugA,{923.88\,382.683},1.0,1
0.001,BloatedBedBugA,{881.921\,471.397},1.0,1
0.001,BloatedBedBugA,{831.47\,555.57},1.0,1
0.001,BloatedBedBugA,{773.01\,634.393},1.0,1
0.001,BloatedBedBugA,{707.107\,707.107},1.0,1
0.001,BloatedBedBugA,{634.393\,773.01},1.0,1
0.001,BloatedBedBugA,{555.57\,831.47},1.0,1
0.001,BloatedBedBugA,{471.397\,881.921},1.0,1
0.001,BloatedBedBugA,{382.683\,923.88},1.0,1
0.001,BloatedBedBugA,{290.285\,956.94},1.0,1
0.001,BloatedBedBugA,{195.09\,980.785},1.0,1
0.001,BloatedBedBugA,{98.0171\,995.185},1.0,1
0.001,BloatedBedBugA,{6.12323e-14\,1000},1.0,1
0.001,BloatedBedBugA,{-98.0171\,995.185},1.0,1
0.001,BloatedBedBugA,{-195.09\,980.785},1.0,1
0.001,BloatedBedBugA,{-290.285\,956.94},1.0,1
0.001,BloatedBedBugA,{-382.683\,923.88},1.0,1
0.001,BloatedBedBugA,{-471.397\,881.921},1.0,1
0.001,BloatedBedBugA,{-555.57\,831.47},1.0,1
0.001,BloatedBedBugA,{-634.393\,773.01},1.0,1
0.001,BloatedBedBugA,{-707.107\,707.107},1.0,1
0.001,BloatedBedBugA,{-773.01\,634.393},1.0,1
0.001,BloatedBedBugA,{-831.47\,555.57},1.0,1
0.001,BloatedBedBugA,{-881.921\,471.397},1.0,1
0.001,BloatedBedBugA,{-923.88\,382.683},1.0,1
0.001,BloatedBedBugA,{-956.94\,290.285},1.0,1
0.001,BloatedBedBugA,{-980.785\,195.09},1.0,1
0.001,BloatedBedBugA,{-995.185\,98.0171},1.0,1
0.001,BloatedBedBugA,{-1000\,1.22465e-13},1.0,1
0.001,BloatedBedBugA,{-995.185\,-98.0171},1.0,1
0.001,BloatedBedBugA,{-980.785\,-195.09},1.0,1
0.001,BloatedBedBugA,{-956.94\,-290.285},1.0,1
0.001,BloatedBedBugA,{-923.88\,-382.683},1.0,1
0.001,BloatedBedBugA,{-881.921\,-471.397},1.0,1
